,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Year,Arson
0,Charlotte,733291,7233.0,76.0,282.0,3191,3684.0,51279.0,12948,32313.0,6018.0,2007,388.0
1,Fayetteville,167157,1320.0,21.0,56.0,500,743.0,12614.0,3569,8223.0,822.0,2007,49.0
2,Greensboro,238122,2312.0,40.0,94.0,942,1236.0,14778.0,4704,8943.0,1131.0,2007,135.0
3,Raleigh,367120,2098.0,23.0,99.0,835,1141.0,12762.0,2949,8773.0,1040.0,2007,72.0
4,Charlotte,837638,5093.0,59.0,,1805,2999.0,30569.0,6439,22274.0,1856.0,2013,213.0
5,Fayetteville,202524,1170.0,25.0,,586,494.0,12261.0,3279,8351.0,631.0,2013,49.0
6,Greensboro,279343,1449.0,27.0,,496,856.0,11537.0,2972,8063.0,502.0,2013,112.0
7,Raleigh,428993,1683.0,12.0,,605,987.0,13140.0,3157,9278.0,705.0,2013,54.0
8,Winston-Salem,235811,1426.0,15.0,,439,892.0,12853.0,3883,8359.0,611.0,2013,72.0
9,Charlotte,808504,5238.0,52.0,223.0,1798,3165.0,32587.0,7761,22688.0,2138.0,2012,197.0
10,Durham,235563,1710.0,21.0,63.0,615,1011.0,10279.0,3284,6291.0,704.0,2012,59.0
11,Fayetteville,205966,1186.0,22.0,70.0,560,534.0,13163.0,4109,8298.0,756.0,2012,47.0
12,Greensboro,276134,1555.0,21.0,70.0,556,908.0,12064.0,3345,8153.0,566.0,2012,129.0
13,Raleigh,420594,1780.0,17.0,113.0,665,985.0,13779.0,3036,9812.0,931.0,2012,59.0
14,Winston-Salem,234687,1556.0,6.0,74.0,428,1048.0,13701.0,4529,8490.0,682.0,2012,94.0
15,Charlotte,699398,7532.0,83.0,346.0,3207,3896.0,48886.0,13582,28154.0,7150.0,2006,346.0
16,Durham,208932,1957.0,13.0,98.0,977,869.0,11866.0,3098,7617.0,1151.0,2006,48.0
17,Fayetteville,132521,1299.0,15.0,61.0,510,713.0,13091.0,3519,8549.0,1023.0,2006,49.0
18,Greensboro,236591,2062.0,27.0,86.0,901,1048.0,14336.0,4129,9000.0,1207.0,2006,109.0
19,Raleigh,348345,2223.0,19.0,97.0,782,1325.0,12650.0,2978,8666.0,1006.0,2006,71.0
20,Winston-Salem,197621,1654.0,20.0,126.0,669,839.0,13449.0,4289,8126.0,1034.0,2006,10.0
21,Charlotte,797733,4891.0,61.0,239.0,1795,2796.0,34701.0,9325,22711.0,2665.0,2010,247.0
22,Durham,233790,1614.0,23.0,60.0,659,872.0,11357.0,3652,6987.0,718.0,2010,28.0
23,Fayetteville,208263,1101.0,17.0,57.0,461,566.0,12566.0,3928,7916.0,722.0,2010,53.0
24,Greensboro,257237,1512.0,20.0,56.0,626,810.0,13776.0,4221,8755.0,800.0,2010,87.0
25,Raleigh,419700,1740.0,14.0,99.0,643,984.0,12995.0,3021,9104.0,870.0,2010,63.0
26,Winston-Salem,232928,1517.0,11.0,96.0,449,961.0,13349.0,4482,8225.0,642.0,2010,105.0
27,Charlotte,789478,4787.0,56.0,218.0,1612,2901.0,32008.0,8536,21371.0,2101.0,2011,195.0
28,Durham,231225,1707.0,27.0,64.0,699,917.0,11270.0,3874,6768.0,628.0,2011,23.0
29,Fayetteville,203107,1050.0,25.0,56.0,495,474.0,12972.0,4204,8088.0,680.0,2011,51.0
30,Raleigh,409014,1724.0,17.0,127.0,680,900.0,13242.0,2985,9343.0,914.0,2011,84.0
31,Winston-Salem,232529,1565.0,14.0,93.0,444,1014.0,13874.0,4680,8522.0,672.0,2011,60.0
32,Charlotte,877817,5948.0,61.0,,1947,3724.0,33075.0,6755,24091.0,2229.0,2015,216.0
33,Durham,257911,2185.0,34.0,,738,1339.0,10615.0,3184,6821.0,610.0,2015,31.0
34,Greensboro,285950,1707.0,26.0,,530,1079.0,10204.0,2369,7296.0,539.0,2015,99.0
35,Charlotte,856916,5054.0,47.0,,1586,3211.0,30565.0,6031,22827.0,1707.0,2014,165.0
36,Durham,249738,1834.0,21.0,,654,1086.0,11085.0,3652,6853.0,580.0,2014,25.0
37,Fayetteville,205306,1039.0,19.0,,470,478.0,10524.0,2510,7427.0,587.0,2014,48.0
38,Greensboro,282203,1346.0,23.0,,487,784.0,10160.0,2508,7119.0,533.0,2014,114.0
39,Winston-Salem,238082,1696.0,13.0,,428,1178.0,12896.0,3724,8467.0,705.0,2014,77.0
40,Charlotte,758769,7070.0,83.0,272.0,2984,3731.0,46934.0,11933,29735.0,5266.0,2008,336.0
41,Durham,221785,1815.0,24.0,75.0,886,830.0,11958.0,3490,7584.0,884.0,2008,30.0
42,Fayetteville,171457,1621.0,23.0,72.0,653,873.0,13499.0,3920,8684.0,895.0,2008,45.0
43,Greensboro,249561,2157.0,24.0,109.0,998,1026.0,15809.0,4942,9759.0,1108.0,2008,108.0
44,Raleigh,388661,2245.0,34.0,95.0,1025,1091.0,13220.0,3095,9178.0,947.0,2008,68.0
45,Winston-Salem,226460,2079.0,19.0,104.0,723,1233.0,14995.0,4670,9234.0,1091.0,2008,114.0
46,Charlotte,777708,5625.0,58.0,303.0,2346,2918.0,38533.0,9817,25379.0,3337.0,2009,249.0
47,Durham,227492,1591.0,21.0,63.0,710,797.0,11763.0,3643,7366.0,754.0,2009,32.0
48,Fayetteville,173995,1268.0,21.0,94.0,491,662.0,13506.0,4289,8455.0,762.0,2009,40.0
49,Greensboro,253191,1940.0,24.0,76.0,908,932.0,15303.0,4789,9668.0,846.0,2009,108.0
50,Raleigh,406005,2001.0,14.0,99.0,832,1056.0,13817.0,3187,9834.0,796.0,2009,66.0
51,Winston-Salem,230978,1739.0,15.0,110.0,575,1039.0,13788.0,4532,8429.0,827.0,2009,88.0
