,coef,std_err,z,p_value,odds_ratio,or_ci_lower,or_ci_upper
const,57.155012493915144,2.0264784091079586,28.204106314201677,5.207358176319995e-175,6.639059169162957e+24,1.2507340985237232e+23,3.524098903489734e+26
subject_age,0.00010216642216621691,0.0003538194352914317,0.28875299651661346,0.7727704038767607,1.000102171641333,0.9994088678594536,1.0007959563776538
search_conducted,4.242969072729145,0.008755109892164646,484.62773454464286,0.0,69.61423503057908,68.42986640392704,70.81910244113226
hour,-0.02570675997670774,0.0004959545641103295,-51.832893246626206,0.0,0.9746208455486122,0.9736739226545528,0.9755686893495034
year,-0.03045137019732226,0.0010089794113123673,-30.180368257182305,4.2871691716072554e-200,0.970007602198555,0.9680912462387792,0.9719277516232327
subject_race_black,0.28315597787106506,0.04134663393134351,6.848344132227265,7.470967377521311e-12,1.327312176999451,1.2239925096246067,1.4393532651203438
subject_race_hispanic,0.6785812182913624,0.04236661708007251,16.016884638413547,9.740993184811042e-58,1.971079216319902,1.8140178189635796,2.1417393128078652
subject_race_white,0.21114649717435435,0.04160853403079763,5.074595923472546,3.883203031527076e-07,1.235093279484121,1.1383675574636316,1.3400376697537568
subject_sex_male,0.26667008803207887,0.009602830545816007,27.769946242388723,1.0008856833019065e-169,1.3056096390249714,1.2812663003046352,1.3304154874826761
reason_cat_Other,3.132024991060219,0.01976526121673989,158.46109781780157,0.0,22.920346076590288,22.049408826202495,23.82568477964704
reason_cat_Other Motor Vehicle Violation,-0.3274304074853141,0.017378143887542052,-18.841506296885974,3.450060241529884e-79,0.7207734499670879,0.6966369050533358,0.7457462595061387
reason_cat_Safe Movement Violation,-0.6107532032863904,0.017782223887290394,-34.346277898509534,1.6006668702851657e-258,0.542941769501162,0.5243448388647184,0.562198277201138
reason_cat_Seat Belt Violation,-1.1292410447328807,0.02246615919539636,-50.2640898656268,0.0,0.32327851727290374,0.3093524900852108,0.33783144820130667
reason_cat_Speed Limit Violation,-1.0300634835266447,0.015122344508798968,-68.11532979739353,0.0,0.3569842972276358,0.34655881512856956,0.367723407698722
reason_cat_Stop Light/Sign Violation,-0.9445688842604998,0.01982031908410142,-47.65659322902485,0.0,0.3888471729077264,0.37403122497022706,0.40425000316582393
reason_cat_Vehicle Equipment Violation,-1.094522769571234,0.01612354991265682,-67.88348567780629,0.0,0.33469929753024247,0.32428765055577924,0.34544522301495756
reason_cat_Vehicle Regulatory Violation,-0.88087859994752,0.013887977314646425,-63.427422150130894,0.0,0.41441864348358826,0.4032903377738781,0.4258540212363638
city_Durham,-1.060713436409934,0.01664398147501719,-63.72954920684556,0.0,0.3462087242911035,0.3350970657360199,0.3576888401335511
city_Fayetteville,-0.6477181434964333,0.013548728498208163,-47.80656307210635,0.0,0.5232383704582465,0.5095266286587384,0.5373191054616453
city_Greensboro,-0.5534946240281488,0.012083357323194191,-45.80636070123551,0.0,0.5749371065799543,0.5614808731706211,0.5887158268739147
city_Raleigh,-0.2854628520816183,0.010649233349480643,-26.805953322033286,2.7540587212166806e-158,0.7516662634967152,0.7361399963497963,0.7675200022831493
city_Winston-Salem,-0.28486751668716376,0.017230488977546785,-16.53275870803071,2.131603691040103e-61,0.7521138902589989,0.7271382499611948,0.777947390266863
